,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
586,ADD,4249,49152.0,0.023271903,6.35447e-05,0.058662355,0.00054160395,0.055026866,14,onnx_tf_prefix_Add_870,14.03185083,0.42292770220900133
664,FULLY_CONNECTED,4570,49152.0,0.04949821,-0.0019433008,0.43939593,0.0024565742,0.1172723,-12,onnx_tf_prefix_MatMul_971;onnx_tf_prefix_Add_972,29.9044365,0.42263893213841636
1634,FULLY_CONNECTED,8602,49152.0,0.18622553,0.010848698,1.2916455,0.034949433,0.44282252,-7,onnx_tf_prefix_Mul_2238;onnx_tf_prefix_Add_2239;onnx_tf_prefix_MatMul_2252;onnx_tf_prefix_Add_22531,112.9197426,0.4221729159064402
1687,FULLY_CONNECTED,8824,49152.0,0.024822412,-0.00043893617,0.16452704,0.00061963295,0.059017997,7,onnx_tf_prefix_Add_2358;onnx_tf_prefix_Mul_2359;onnx_tf_prefix_Add_2360;onnx_tf_prefix_MatMul_2361;onnx_tf_prefix_Add_2362,15.049589235000001,0.42177689567163307
1166,ADD,6656,49152.0,0.09184458,0.007187558,0.21764135,0.008488648,0.21882814,5,onnx_tf_prefix_Add_1645,55.8011757,0.4210329582833389
828,FULLY_CONNECTED,5250,49152.0,0.06987032,-0.00088068284,0.65333927,0.004891626,0.1663653,-40,onnx_tf_prefix_MatMul_1189;onnx_tf_prefix_Add_1190,42.423151499999996,0.4204011301459931
1086,ADD,6325,49152.0,0.053045407,0.0013367411,0.12508011,0.0028161088,0.12626483,22,onnx_tf_prefix_Add_1540,32.19753165,0.42028347699320745
78,ADD,2137,49152.0,0.03158567,0.0003255403,0.077696025,0.0009981483,0.07518865,-32,onnx_tf_prefix_Add_184,19.173105749999998,0.4201895510547155
1438,FULLY_CONNECTED,7789,49152.0,0.03751454,0.0014112573,0.14058825,0.0014148917,0.089522995,-15,onnx_tf_prefix_Add_2019;onnx_tf_prefix_Mul_2020;onnx_tf_prefix_Add_2021;onnx_tf_prefix_MatMul_2024;onnx_tf_prefix_Add_2025,22.828363725,0.420171892055784
922,ADD,5645,49152.0,0.01601231,-7.436236e-05,0.03888939,0.00025645108,0.038222548,1,onnx_tf_prefix_Add_1322,9.74674974,0.4189697151000086
1836,FULLY_CONNECTED,9438,49152.0,0.04842793,-0.002444317,0.21577634,0.0023987505,0.11718217,2,onnx_tf_prefix_MatMul_2545;onnx_tf_prefix_Add_2546,29.88145335,0.4179564223756916
502,ADD,3900,49152.0,0.019661527,-0.00014198355,0.050214767,0.00038663973,0.04704946,-18,onnx_tf_prefix_Add_757,11.9976123,0.4179252357875692
762,FULLY_CONNECTED,4981,49152.0,0.12679766,0.002970955,0.80294424,0.016093982,0.30403495,-10,onnx_tf_prefix_MatMul_11141,77.52891225,0.4172614330882931
500,FULLY_CONNECTED,3890,49152.0,0.014492493,-0.00043938073,0.08133414,0.00021029176,0.0347985,2,onnx_tf_prefix_MatMul_753;onnx_tf_prefix_Add_754,8.8736175,0.4167260062503743
1762,ADD,9135,49152.0,0.030912235,0.00020442717,0.07465438,0.00095586857,0.07420261,1,onnx_tf_prefix_Add_2452,18.92166555,0.4166581771104199
330,ADD,3184,49152.0,0.06389174,0.00080759585,0.15303119,0.0040836553,0.15366268,6,onnx_tf_prefix_Add_523,39.1839834,0.4158686042411552
1756,FULLY_CONNECTED,9107,49152.0,0.043617953,-0.0034008885,0.17048953,0.0019690979,0.106741965,-14,onnx_tf_prefix_MatMul_2440;onnx_tf_prefix_Add_2441,27.219201074999997,0.41571764759003593
1351,FULLY_CONNECTED,7428,49152.0,0.023580933,0.0012691118,0.093789615,0.0005596381,0.056914758,11,onnx_tf_prefix_Add_1906;onnx_tf_prefix_Mul_1907;onnx_tf_prefix_Add_1908;onnx_tf_prefix_MatMul_1909;onnx_tf_prefix_Add_1910,14.513263290000001,0.415650917174882
1164,FULLY_CONNECTED,6646,49152.0,0.06267618,0.0018603151,0.30041304,0.003946291,0.1511703,-10,onnx_tf_prefix_MatMul_1641;onnx_tf_prefix_Add_1642,38.548426500000005,0.41555458512837634
504,FULLY_CONNECTED,3908,49152.0,0.013374895,0.0007604863,0.12017844,0.00017968408,0.032331258,3,onnx_tf_prefix_MatMul_761;onnx_tf_prefix_Add_762,8.244470790000001,0.4146027677360943
920,FULLY_CONNECTED,5635,49152.0,0.01523947,0.00036952298,0.0807136,0.00023284221,0.036813974,-8,onnx_tf_prefix_MatMul_1318;onnx_tf_prefix_Add_1319,9.38756337,0.414493911030174
418,ADD,3551,49152.0,0.017732946,0.00016811675,0.055698138,0.00031470705,0.04280083,29,onnx_tf_prefix_Add_644,10.91421165,0.41447758135302826
